CpG_site,original_coeff,mean_bootstrap,std_bootstrap,selection_frequency
"('chr3', 169665319, 169667619, 0)",-2.947158264181626,-2.8657341565695718,1.3050165964336276,1.0
"('chr3', 181722960, 181725249, 0)",0.9053396965271134,0.9392912629449376,0.9496198558731067,0.74
"('chr4', 110618823, 110620366, 0)",0.9426899890337062,1.0073887419255214,0.9569597761633767,0.74
"('chr4', 139735567, 139736030, 0)",0.0,0.056142379004380204,0.6434103777229131,0.49
"('chr5', 1877589, 1878883, 0)",0.5334332659407153,0.35621657031224657,0.5332376479363575,0.49
"('chr5', 2748393, 2748628, 0)",0.04684126772720225,0.12824312986382114,0.5267440800326162,0.46
"('chr5', 93570546, 93571113, 0)",1.0913114268711228,0.787260824337749,0.8887993808881944,0.66
"('chr5', 123086872, 123088203, 0)",0.27921138758872716,0.42216553454554023,0.6738423498494827,0.68
"('chr5', 174731544, 174732670, 0)",0.0,0.0360493607513018,0.4945777838134262,0.44
"('chr6', 10424945, 10426016, 0)",0.0,0.5432310949495974,0.7399001324056388,0.57
"('chr6', 100448184, 100449569, 0)",0.25806210060210405,0.15076065850229659,0.4965923794507686,0.33
"('chr6', 101398890, 101399836, 0)",0.5289726058267754,0.30189606219313175,0.7053854671950348,0.5
"('chr6', 107634433, 107634725, 0)",1.8077603782199883,1.723744612676722,1.041321668311885,0.91
"('chr7', 552722, 553470, 0)",-1.4728340343090127,-1.5370896339693987,1.2327791148979967,0.83
"('chr7', 1559590, 1560731, 0)",-0.0,0.04897511015469049,0.6539797452484817,0.43
"('chr7', 27157404, 27158873, 0)",-0.5993788444815968,-0.507667015400266,0.634535418974263,0.65
"('chr7', 64181739, 64182314, 0)",0.7708230741493113,0.9770361961744314,0.946563685234782,0.78
"('chr7', 73830989, 73831802, 0)",-0.0,-0.4870652629379061,0.9209071666888713,0.54
"('chr7', 97021736, 97022652, 0)",0.37933311972382744,0.3486006395175214,0.7273244656599277,0.65
"('chr7', 155802914, 155803373, 0)",0.0,0.19142131456031553,0.8199657284736406,0.57
"('chr8', 10652508, 10655054, 0)",-2.2027041849697175,-2.1291488623676313,1.1067065863491483,0.94
"('chr8', 127853937, 127854827, 0)",0.0,0.1242850789092234,0.5402791767441542,0.47
"('chr9', 123373179, 123373654, 0)",0.42617341690091387,0.3942801418908509,0.8141327096923396,0.57
"('chr9', 128392999, 128393735, 0)",0.9983561407465634,0.9856101332798061,1.0782981924696946,0.67
"('chr9', 135441765, 135442644, 0)",-0.6735569583547358,-0.6210319521809091,0.7933562467049406,0.62
"('chr9', 136846836, 136847029, 0)",1.4678133636945525,0.8573897692304712,0.8498189817882228,0.74
