CpG_site,correlation,p_value,n_samples,adj_p_value,significant
"('chr19', 13025058, 13025354, 0)",-0.2879443796952358,0.0030364643424494807,104,0.043991702912560764,True
"('chr19', 19514189, 19514656, 0)",0.3884407045228718,4.608141398625979e-05,104,0.0022810299923198595,True
"('chr19', 29529730, 29529890, 0)",0.41967859225945586,9.219483425341718e-06,104,0.0007301830872870641,True
"('chr19', 39408066, 39408856, 0)",-0.32544551730070614,0.0007488097129647444,104,0.017442861549061106,True
"('chr19', 45152141, 45152621, 0)",0.5040433759907801,4.903474529969409e-08,104,1.0349000108941771e-05,True
"('chr19', 46649209, 46649547, 0)",0.4200173645740949,9.05188438364043e-06,104,0.0007301830872870641,True
"('chr19', 58203883, 58204874, 0)",0.4961435841186287,8.516783517922824e-08,104,1.4454198313274735e-05,True
"('chr2', 63047654, 63048123, 0)",0.32324331809940293,0.0008171145135489876,104,0.01831569890747542,True
"('chr2', 176100457, 176101151, 0)",0.4171656921886236,1.0556982284570564e-05,104,0.0007838559346293644,True
"('chr2', 176160107, 176160843, 0)",0.3014961109805606,0.0018694958186683223,104,0.03218784105185459,True
"('chr2', 219448422, 219448770, 0)",0.30382702788662475,0.0017158365773699532,104,0.03055656663264098,True
"('chr20', 2749710, 2750650, 0)",0.3512205262633488,0.00025653087392461403,104,0.00870739080635547,True
"('chr20', 22582125, 22582601, 0)",0.439232359634235,3.093681753195854e-06,104,0.0003062744935663895,True
"('chr20', 31845097, 31845606, 0)",-0.3792622265035551,7.175784386125404e-05,104,0.0029395971899024067,True
"('chr22', 19721875, 19723037, 0)",-0.29601250944830493,0.0022812289164652784,104,0.036622972334604736,True
"('chr22', 46007405, 46008260, 0)",-0.2893319401790173,0.0028924070330196825,104,0.042952244440342284,True
"('chr22', 50603661, 50604232, 0)",0.3922256728178367,3.824137682172466e-05,104,0.0020650343483731314,True
"('chr22', 50720100, 50720824, 0)",-0.30695360996282267,0.001527695494852731,104,0.029272616901371683,True
"('chr22', 50730665, 50731575, 0)",-0.29707014837057055,0.0021959622062759127,104,0.03623337640355256,True
"('chr3', 169665319, 169667619, 0)",-0.5031399185524112,5.2267677317887734e-08,104,1.0349000108941771e-05,True
"('chr3', 181722960, 181725249, 0)",0.33897038801031015,0.000431772560027959,104,0.011150995680722071,True
"('chr4', 110618823, 110620366, 0)",0.2950303641492473,0.002363072903763274,104,0.03743107479561026,True
"('chr4', 139735567, 139736030, 0)",-0.28636359946598816,0.0032084123745757588,104,0.04592281808428917,True
"('chr5', 1877589, 1878883, 0)",0.5708529325964095,2.4981761924853487e-10,104,1.483916658336297e-07,True
"('chr5', 2748393, 2748628, 0)",0.4308224294362998,4.9894831623978505e-06,104,0.000455961999763742,True
"('chr5', 93570546, 93571113, 0)",0.439587674370654,3.0309788012250735e-06,104,0.0003062744935663895,True
"('chr5', 123086872, 123088203, 0)",0.4136606147477382,1.2729727298191781e-05,104,0.0008895832958971668,True
"('chr5', 174731544, 174732670, 0)",0.382323080456319,6.19954485196011e-05,104,0.0026303783157602184,True
"('chr6', 10424945, 10426016, 0)",0.3851126406853419,5.4191206635625294e-05,104,0.002476121287812417,True
"('chr6', 100448184, 100449569, 0)",0.3010274179851279,0.0019018571893404555,104,0.032277233441949445,True
"('chr6', 101398890, 101399836, 0)",0.39722258077290173,2.9791023359974938e-05,104,0.001792126472836844,True
"('chr6', 107634433, 107634725, 0)",0.36343023556659615,0.0001494402622823543,104,0.005547969737232403,True
"('chr7', 552722, 553470, 0)",-0.30408411570315796,0.001699609280449381,104,0.03055656663264098,True
"('chr7', 1559590, 1560731, 0)",-0.29325263041212224,0.0025179777378290117,104,0.03935996779659034,True
"('chr7', 27157404, 27158873, 0)",-0.29639324656156524,0.002250195702876891,104,0.03661962321942119,True
"('chr7', 64181739, 64182314, 0)",0.47026773717515247,4.727982440993654e-07,104,6.240936822111623e-05,True
"('chr7', 73830989, 73831802, 0)",-0.3374859184818242,0.0004592339160740535,104,0.011607870048850544,True
"('chr7', 97021736, 97022652, 0)",0.28312414923164714,0.003588349828326265,104,0.04956929762850701,True
"('chr7', 155802914, 155803373, 0)",0.48580133266273107,1.7186074059091662e-07,104,2.5521319977751118e-05,True
"('chr8', 10652508, 10655054, 0)",-0.32204640681122065,0.0008565831079666903,104,0.018844828375267186,True
"('chr8', 127853937, 127854827, 0)",-0.3469091824682475,0.0003088665914427229,104,0.00936128386847359,True
"('chr9', 123373179, 123373654, 0)",0.3464344627245609,0.0003151947430462488,104,0.00936128386847359,True
"('chr9', 128392999, 128393735, 0)",-0.32040654252050715,0.0009134877242663028,104,0.019149062274654353,True
"('chr9', 135441765, 135442644, 0)",-0.3928090094371126,3.715035839064775e-05,104,0.0020650343483731314,True
"('chr9', 136846836, 136847029, 0)",0.3111003020707677,0.0013070557689209726,104,0.02545544677832976,True
